"Wavelength","Fluorescein (FITC) EM","EYFP EM","mOrange EM","Kaede (Red) EM","Kaede (Red) EX","CFP EX","CFP EM","EYFP EX","mOrange EX","Pacific Blue EX","Pacific Blue EM","Fluorescein (FITC) EX","APC (allophycocyanin) AB","APC (allophycocyanin) EM","PerCP-Cy5.5 AB","PerCP-Cy5.5 EM","APC/Cy7 EX","APC/Cy7 EM"
409,,,,,0.0498,0.6324,,0.0538,0.003,0.9711,,0.05,,,0.5855
410,,,,,0.0502,0.6493,,0.0525,0.0032,0.9583,0.0239,0.0503,,,0.5981
411,,,,,0.051,0.6675,,0.0517,0.0034,0.9432,0.017,0.0496,,,0.6101
412,,,,,0.0511,0.6857,,0.0522,0.0036,0.9232,0.0118,0.0506,,,0.6222
413,,,,,0.0517,0.7027,,0.051,0.0039,0.902,0.0114,0.0484,,,0.6334
414,,,,,0.0518,0.7197,,0.0478,0.0041,0.8772,0.0135,0.0491,,,0.6442
415,,,,,0.0521,0.7337,,0.048,0.0044,0.8521,0.0167,0.0486,,,0.655
416,,,,,0.0528,0.7477,,0.0472,0.0046,0.823,0.0207,0.0497,,,0.6636
417,,,,,0.0544,0.7586,,0.0451,0.0049,0.7933,0.0254,0.0513,,,0.6725
418,,,,,0.055,0.7695,,0.0448,0.0052,0.76,0.0313,0.0523,,,0.6813
419,,,,,0.0555,0.7784,,0.0435,0.0056,0.7265,0.0381,0.0531,,,0.6893
420,,,,,0.056,0.7874,,0.0428,0.0059,0.691,0.0462,0.0557,,,0.6977
421,,,,,0.0566,0.7953,,0.0425,0.0063,0.6524,0.0554,0.0548,,,0.7066
422,,,,,0.058,0.8032,,0.039,0.0067,0.6167,0.0665,0.0569,,,0.7135
423,,,,,0.0594,0.8103,,0.0368,0.0071,0.58,0.0793,0.0569,,,0.7208
424,,,,,0.0608,0.8174,,0.0351,0.0075,0.5441,0.0944,0.062,,,0.7281
425,,,,,0.0624,0.8241,,0.0356,0.0079,0.5067,0.112,0.0632,,,0.7353
426,,,,,0.0637,0.8308,,0.035,0.0085,0.4691,0.1321,0.0664,,,0.7421
427,,,,,0.066,0.8372,,0.0352,0.009,0.4339,0.1544,0.0718,,,0.7497
428,,,,,0.0664,0.8437,,0.0333,0.0095,0.3998,0.1792,0.0759,,,0.7573
429,,,,,0.0685,0.8495,,0.0344,0.0101,0.3634,0.2072,0.0787,,,0.7657
430,,,,,0.0708,0.8552,,0.0337,0.0107,0.3318,0.2362,0.083,,,0.774
431,,,,,0.0726,0.8603,,0.0304,0.0115,0.2996,0.2683,0.0843,,,0.7835
432,,,,,0.0743,0.8653,,0.0302,0.0122,0.2716,0.3036,0.0875,,,0.7932
433,,,,,0.0757,0.8702,,0.0355,0.0129,0.2438,0.34,0.0901,,,0.8027
434,,,,,0.0787,0.875,,0.0329,0.0137,0.2187,0.3788,0.0956,,,0.8117
435,,,,,0.0813,0.88,,0.0328,0.0147,0.1947,0.4185,0.1012,,,0.8217
436,,,,,0.084,0.885,,0.0349,0.0157,0.1739,0.4578,0.1024,,,0.8306
437,,,,,0.0864,0.8901,,0.0351,0.0165,0.1543,0.499,0.1077,,,0.8381
438,,,,,0.0891,0.8951,,0.0365,0.0177,0.1362,0.5431,0.1122,,,0.8443
439,,,,,0.0918,0.9002,,0.0382,0.0187,0.1181,0.5882,0.1196,,,0.85
440,,,,,0.0953,0.9053,,0.0397,0.0199,0.1048,0.6311,0.1231,,,0.8545
441,,,,,0.0977,0.91,,0.0447,0.0211,0.0912,0.6727,0.1301,,,0.8572
442,,,,,0.102,0.9147,,0.0433,0.0227,0.0815,0.7166,0.1324,,,0.86
443,,,,,0.1051,0.9191,,0.0461,0.0239,0.0699,0.7553,0.1399,,,0.8621
444,,,,,0.1077,0.9235,,0.0481,0.0255,0.0616,0.7904,0.1428,,,0.8638
445,,,,,0.1124,0.9288,,0.0505,0.0269,0.0534,0.8253,0.1499,,,0.865
446,,,,,0.1166,0.9341,,0.0539,0.0284,0.0474,0.8571,0.1563,,,0.8659
447,,,,,0.1215,0.9404,,0.056,0.0302,0.0399,0.8879,0.1657,,,0.8673
448,,,,,0.1257,0.9467,,0.0601,0.0319,0.0357,0.9149,0.1703,,,0.8664
449,,,,,0.1294,0.9532,,0.0631,0.0339,0.0297,0.9348,0.1803,,,0.8664
450,,,,,0.1331,0.9597,,0.0642,0.0351,0.0266,0.9501,0.1875,0.0183,,0.8669,,0.03
451,,,,,0.1355,0.9665,,0.0678,0.0371,0.0214,0.9646,0.1972,0.0179,,0.8674,,0.03
452,,,,,0.1386,0.9732,,0.0725,0.0392,0.019,0.9773,0.2078,0.0173,,0.8673,,0.03
453,,,,,0.1415,0.9786,,0.0753,0.0411,0.0173,0.987,0.2193,0.0167,,0.8689,,0.03
454,,,,,0.1452,0.9841,,0.0791,0.0437,0.0154,0.9948,0.2314,0.0162,,0.8699,,0.03
455,,,,,0.1492,0.992,0.4764,0.0843,0.0459,0.0137,1,0.2425,0.0158,,0.8731,,0.03
456,,,,,0.1534,0.9999,0.5063,0.086,0.0486,0.0119,0.9958,0.2543,0.0151,,0.8766,,0.03
457,,,,,0.1575,1,0.5361,0.092,0.0511,0.0108,0.9936,0.2687,0.0146,,0.881,,0.03
458,,,,,0.1644,0.9975,0.5664,0.0961,0.0538,0.0099,0.9865,0.2822,0.0141,,0.8866,,0.03
459,,,,,0.1683,0.9966,0.5984,0.0991,0.0565,0.0082,0.978,0.2959,0.0135,,0.8906,,0.03
460,,,,,0.1738,0.9957,0.6304,0.1032,0.06,0.0071,0.9707,0.3097,0.013,,0.895,,0.03
